P-Others,P-ads_services,A-class,id,image_url,Predicted
0.9817725324699268,0.01822746753007321,Others,875,https://d2j6tswx2otu6e.cloudfront.net/EQy8cPrcdBn2lP7maGpLkSHU4J0=/600x800/2b03/2b03d5c55899451da83e1f534a79dd5b.jpg,Others
0.4646176304399457,0.5353823695600544,Others,2604,https://d2j6tswx2otu6e.cloudfront.net/An6qESG0kPnf_dQa6pIiOeZrQ9c=/480x854/e1d1/e1d128f9bcb046239642be62f7c7a8fc.jpg,ads_services
0.2400348407609293,0.7599651592390709,Others,3134,https://d2j6tswx2otu6e.cloudfront.net/4Htp0gQy-bpBNS6Moc6O0llQILg=/600x1800/c356/c356386c02174575bdcfc5567dbc67e3.jpg,ads_services
0.7330938427047781,0.2669061572952219,ads_services,1126,https://d2j6tswx2otu6e.cloudfront.net/69W2pj5tThrIQhM6oVlYHIr8z5Y=/600x450/7f21/7f215ee216434a2ca47fed6063e642a9.jpg,Others
0.3098284674698935,0.6901715325301063,Others,54,https://d2j6tswx2otu6e.cloudfront.net/rs59qkA0mYPIzJKHSu72EsUeRR8=/480x480/c6f9/c6f93c2148aa423ea9ad94af86f7301c.jpg,ads_services
0.943359525531423,0.05664047446857697,Others,3593,https://d2j6tswx2otu6e.cloudfront.net/Hwv9pGQSFydlQ-oRvXdYu7RMmRA=/600x450/9f84/9f846631a52c4944bc7eae84182fab0e.jpg,Others
0.5,0.5,Others,3027,https://d2j6tswx2otu6e.cloudfront.net/A79qJ-6TNhjnw8xDVKIBZ_N7KbM=/600x800/b00b/b00b0840dc184061a492e1a6e5927b77.jpg,ads_services
0.9423542270609656,0.05764577293903439,Others,26,https://d2j6tswx2otu6e.cloudfront.net/76I5J3o0AJXLdZLYiuzHyr-citI=/600x800/de77/de7789c733954d2ca3dd4e644a2dba8e.jpg,Others
0.08511159835357045,0.9148884016464294,ads_services,4427,https://d2j6tswx2otu6e.cloudfront.net/8M9vWUjiY0WI--3Pi1J-lPoajbI=/600x800/a56e/a56e7ef352e244b6876a897ba02700b7.jpg,ads_services
0.9764890304400484,0.023510969559951626,Others,406,https://d2j6tswx2otu6e.cloudfront.net/Rq_ja_MSXkmBLK0hUsoJsXlmw30=/600x589/ed3d/ed3d177b7e944c1291a8e5ede3b0e64d.jpg,Others
0.7478316064542021,0.2521683935457978,Others,1271,https://d2j6tswx2otu6e.cloudfront.net/CwLLpvJ-nzICxO2iMmZ0Afi4CuI=/486x648/97f4/97f4feb02ed0408db0acc0807416957f.jpg,Others
0.956328186883686,0.04367181311631405,Others,2382,https://d2j6tswx2otu6e.cloudfront.net/z7Y4NjM8rByjG4BFnNcov3-UWQA=/600x800/00f9/00f9d5dbb7ef410fb99719c647061f8e.jpg,Others
